Cugny-lès-Crouttes;CUGNY LES CROUTTES;2210
Cuirieux;CUIRIEUX;2350
Cuiry-Housse;CUIRY HOUSSE;2220
Cuiry-lès-Chaudardes;CUIRY LES CHAUDARDES;2160
Cuissy-et-Geny;CUISSY ET GENY;2160
Cuisy-en-Almont;CUISY EN ALMONT;2200
Cutry;CUTRY;2600
Cys-la-Commune;CYS LA COMMUNE;2220
Dagny-Lambercy;DAGNY LAMBERCY;2140
Dallon;DALLON;2680
Dammard;DAMMARD;2470
Dampleux;DAMPLEUX;2600
Danizy;DANIZY;2800
Dercy;DERCY;2270
Deuillet;DEUILLET;2700
Dhuizel;DHUIZEL;2220
Dizy-le-Gros;DIZY LE GROS;2340
Dohis;DOHIS;2360
Dolignon;DOLIGNON;2360
Dommiers;DOMMIERS;2600
Domptin;DOMPTIN;2310
Dorengt;DORENGT;2450
Douchy;DOUCHY;2590
Dravegny;DRAVEGNY;2130
Droizy;DROIZY;2210
Ébouleau;EBOULEAU;2350
Effry;EFFRY;2500
Englancourt;ENGLANCOURT;2260
Épagny;EPAGNY;2290
Éparcy;EPARCY;2500
Épaux-Bézu;EPAUX BEZU;2400
Épieds;EPIEDS;2400
